Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Black or African American,---,.,.,DSU,14.2,8.2,DSU,14.1,8.1,DSU,8.8,6.2,DSU,8.3,5.9,DSU,16.0,8.0,DSU,3.9,3.9,DSU,3.8,3.8,DSU,7.4,5.2,---,.,.,---,.,.
                 White,---,.,.,DSU,0.0,0.0,DSU,1.4,1.4,DSU,1.3,1.3,DSU,2.6,1.9,DSU,2.6,1.8,DSU,1.2,1.2,DSU,1.2,1.2,DSU,1.2,1.2,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,4.7,4.7,DSU,4.4,4.4,DSU,4.1,4.1,DSU,3.7,3.7,DSU,0.0,0.0,DSU,3.3,3.3,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,4.0,2.3,DSU,5.3,2.7,DSU,2.5,1.8,DSU,5.0,2.5,DSU,6.2,2.8,DSU,1.2,1.2,DSU,2.4,1.7,DSU,2.4,1.7,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,14.9,8.6,DSU,14.8,8.6,DSU,9.2,6.5,DSU,8.7,6.1,DSU,16.7,8.4,DSU,4.1,4.1,DSU,3.9,3.9,DSU,7.9,5.6,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,0.0,0.0,DSU,1.9,1.9,DSU,0.0,0.0,DSU,1.8,1.8,DSU,1.8,1.8,DSU,0.0,0.0,DSU,1.8,1.8,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,4.4,3.1,DSU,0.0,0.0,DSU,0.0,0.0,DSU,4.0,2.8,DSU,0.0,0.0,DSU,1.9,1.9,DSU,1.8,1.8,DSU,3.7,2.6,---,.,.,---,.,.
                 Male,---,.,.,DSU,2.1,2.1,DSU,8.3,4.1,DSU,5.9,3.4,DSU,5.7,3.3,DSU,11.1,4.5,DSU,1.8,1.8,DSU,1.8,1.8,DSU,1.7,1.7,---,.,.,---,.,.
              STATE:Georgia,---,.,.,DSU,6.9,3.4,DSU,3.4,2.4,DSU,4.8,2.8,DSU,1.5,1.5,DSU,4.6,2.6,DSU,.,.,DSU,1.4,1.4,DSU,1.4,1.4,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,19.8,9.9,DSU,4.9,4.9,DSU,4.7,4.7,DSU,0.0,0.0,DSU,8.9,6.3,DSU,.,.,DSU,4.2,4.2,DSU,4.2,4.2,---,.,.,---,.,.
                 White,---,.,.,DSU,0.0,0.0,DSU,2.7,2.7,DSU,5.0,3.6,DSU,2.4,2.4,DSU,2.4,2.4,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,7.4,3.7,DSU,3.7,2.6,DSU,5.3,3.0,DSU,1.7,1.7,DSU,5.1,2.9,DSU,.,.,DSU,1.7,1.7,DSU,1.7,1.7,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,20.1,10.1,DSU,5.0,5.0,DSU,4.8,4.8,DSU,0.0,0.0,DSU,9.0,6.4,DSU,.,.,DSU,4.3,4.3,DSU,4.3,4.3,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,0.0,0.0,DSU,3.0,3.0,DSU,5.8,4.1,DSU,2.8,2.8,DSU,2.9,2.9,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,3.3,3.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Male,---,.,.,DSU,13.4,6.7,DSU,6.6,4.7,DSU,6.3,4.4,DSU,3.0,3.0,DSU,8.9,5.1,DSU,.,.,DSU,2.8,2.8,DSU,2.8,2.8,---,.,.,---,.,.
              STATE:Hawaii,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,11.8,11.8,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,16.9,16.9,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,14.0,14.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,23.0,23.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
              STATE:Idaho,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,9.4,9.4,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,9.8,9.8,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,10.9,10.9,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,11.4,11.4,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,19.3,19.3,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
              STATE:Illinois,---,.,.,DSU,.,.,DSU,3.4,2.0,DSU,2.3,1.6,DSU,1.1,1.1,DSU,2.3,1.6,DSU,.,.,DSU,3.3,1.9,DSU,2.3,1.6,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,17.7,10.2,DSU,11.9,8.4,DSU,5.9,5.9,DSU,11.8,8.4,DSU,.,.,DSU,11.8,8.3,DSU,12.3,8.7,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,1.5,1.5,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,4.9,4.9,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,4.3,2.5,DSU,2.9,2.0,DSU,1.4,1.4,DSU,1.4,1.4,DSU,.,.,DSU,2.9,2.0,DSU,2.9,2.1,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,18.4,10.6,DSU,12.3,8.7,DSU,6.0,6.0,DSU,6.1,6.1,DSU,.,.,DSU,12.0,8.5,DSU,12.5,8.9,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,2.3,2.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,2.3,2.3,DSU,0.0,0.0,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,4.5,3.2,DSU,4.5,3.2,DSU,2.2,2.2,DSU,4.4,3.1,DSU,.,.,DSU,4.4,3.1,DSU,4.4,3.1,---,.,.,---,.,.
              STATE:Indiana,---,.,.,DSU,7.1,4.1,DSU,.,.,DSU,7.0,4.1,DSU,4.7,3.3,DSU,4.6,3.3,DSU,.,.,DSU,4.6,3.3,DSU,4.6,3.3,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,19.2,19.2,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,38.2,27.0,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,8.2,4.7,DSU,.,.,DSU,5.4,3.9,DSU,5.4,3.8,DSU,5.4,3.8,DSU,.,.,DSU,0.0,0.0,DSU,5.4,3.8,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,36.0,36.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,7.6,4.4,DSU,.,.,DSU,7.5,4.3,DSU,2.5,2.5,DSU,5.0,3.5,DSU,.,.,DSU,5.0,3.6,DSU,5.1,3.6,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,19.7,19.7,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,38.7,27.3,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,8.8,5.1,DSU,.,.,DSU,5.8,4.1,DSU,2.9,2.9,DSU,5.8,4.1,DSU,.,.,DSU,0.0,0.0,DSU,6.0,4.2,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,4.8,4.8,DSU,0.0,0.0,DSU,9.5,6.7,DSU,.,.,DSU,4.8,4.8,DSU,4.8,4.8,---,.,.,---,.,.
                 Male,---,.,.,DSU,13.9,8.0,DSU,.,.,DSU,9.2,6.5,DSU,9.1,6.4,DSU,0.0,0.0,DSU,.,.,DSU,4.5,4.5,DSU,4.5,4.5,---,.,.,---,.,.
              STATE:Iowa,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,5.5,5.5,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,114.8,114.8,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,93.2,93.2,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,11.3,11.3,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
              STATE:Kansas,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,15.9,9.2,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,124.2,87.8,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,6.0,6.0,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,18.3,10.6,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,128.8,91.1,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,7.0,7.0,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,30.6,17.7,DSU,.,.,DSU,.,.,---,.,.,---,.,.
              STATE:Kentucky,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,3.9,3.9,DSU,.,.,DSU,3.8,3.8,DSU,3.7,3.7,DSU,3.6,3.6,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,37.6,37.6,DSU,38.4,38.4,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.5,4.5,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,4.1,4.1,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.0,4.0,DSU,.,.,DSU,3.9,3.9,DSU,3.8,3.8,DSU,3.8,3.8,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,38.0,38.0,DSU,38.9,38.9,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,4.6,4.6,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,4.3,4.3,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,8.1,8.1,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,7.3,7.3,DSU,7.3,7.3,DSU,7.1,7.1,---,.,.,---,.,.
              STATE:Louisiana,---,.,.,DSU,6.3,4.5,DSU,3.2,3.2,DSU,3.1,3.1,DSU,9.3,5.4,DSU,9.2,5.3,DSU,.,.,DSU,15.5,6.9,DSU,6.6,4.7,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,15.6,11.0,DSU,7.8,7.8,DSU,7.7,7.7,DSU,7.5,7.5,DSU,22.0,12.7,DSU,.,.,DSU,29.2,14.6,DSU,16.6,11.7,---,.,.,---,.,.
                 White,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,10.9,7.7,DSU,0.0,0.0,DSU,.,.,DSU,5.6,5.6,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,112.9,112.9,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,6.5,4.6,DSU,3.2,3.2,DSU,3.2,3.2,DSU,9.6,5.5,DSU,9.5,5.5,DSU,.,.,DSU,12.8,6.4,DSU,6.8,4.8,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,15.7,11.1,DSU,7.9,7.9,DSU,7.8,7.8,DSU,7.6,7.6,DSU,22.1,12.8,DSU,.,.,DSU,22.0,12.7,DSU,16.7,11.8,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,11.4,8.1,DSU,0.0,0.0,DSU,.,.,DSU,5.9,5.9,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,6.3,6.3,DSU,6.3,6.3,DSU,.,.,DSU,19.0,11.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Male,---,.,.,DSU,12.4,8.7,DSU,6.2,6.2,DSU,6.1,6.1,DSU,12.1,8.6,DSU,12.1,8.5,DSU,.,.,DSU,12.2,8.6,DSU,13.0,9.2,---,.,.,---,.,.
              STATE:Maine,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,14.9,14.9,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
